id_sequencage,Poids Mille Grains,Biomasse aérienne_VS3,Biomasse racine_VS3,Biomasse totale_VS3,Surface Projetée_VS3,Pourcentage azote aérien_VS3,Pourcentage azote Racine_VS3,Azote totale_VS3,Azote aérien_VS3,Azote racine_VS3,INN_VS3,SLN_VS3,RTR,SNU,NLA,RUE
33,4.81190476190476,0.4302,0.207400482299604,0.637600482299604,42.4798983380518,3.66470100088652,2.77273613901012,0.0215162118310162,0.0157655437058138,0.00575066812520242,0.608837504658031,3.51586179026066,0.312398801665035,0.101964922046657,1871.6316,2.9904112
34,5.30714285714286,0.7977,0.359973491353247,1.15767349135325,86.7185439467279,3.59089719741254,2.8049395481689,0.0387416257656514,0.0286445869437598,0.0100970388218916,0.634574682515596,3.38156123822342,NA,NA,2240.8277,3.1136532
35,5.30714285714286,0.7982,0.284046683440073,1.08224668344007,66.1005004200043,3.27866890422596,2.52696500791451,0.033348095490204,0.0261703351935316,0.00717776029667235,0.579434758992624,3.38156123822342,0.258996002580014,0.116472970324305,2240.8277,3.1136532
36,5.30714285714286,0.8619,0.241630794592812,1.10353079459281,84.9380032534545,2.96875762796252,2.75215433036229,0.0322377743722839,0.025587721995409,0.0066500523768749,0.52870843702316,3.38156123822342,0.210531604228419,0.132380443001379,2240.8277,3.1136532
37,4.05714285714286,0.6224,0.290284633923377,0.912684633923377,34.630552629235,3.27477130563907,2.26699811450915,0.0269629237840503,0.0203821766062976,0.00658074717775275,0.564525734726239,5.60615020697813,0.309194189184187,0.0928853548302395,1319.828,5.5055416
38,4.05714285714286,0.4048,0.227813522506701,0.632613522506701,35.20687188243,3.54897489850402,2.49376789656968,0.0200473908774609,0.0143662503891443,0.00568114048831666,0.586033965842993,5.60615020697813,0.349257305037714,0.083677971205443,1319.828,5.5055416
39,4.05714285714286,0.4086,0.205373555352798,0.613973555352798,14.7070395032682,3.07592277650936,2.63381491484353,0.0179773797968437,0.0125682204648172,0.00540915933202643,0.508394769898301,5.60615020697813,0.322126548388585,0.0814327213658832,1319.828,5.5055416
40,5.16428571428571,0.4752,0.170074699804524,0.645274699804524,64.18,3.88206607840989,1.9147751915806,0.021704126163616,0.0184475780046038,0.0032565481590122,0.651397933628856,2.57559318835794,0.246031610434331,0.109338232300286,3127.4457,2.3604234
41,5.16428571428571,0.8196,0.333101823281907,1.15270182328191,120.3,3.36181206524453,2.07029189768382,0.0344495917451866,0.0275534116867442,0.00689618005844241,0.595702518757641,2.57559318835794,0.293274329357374,0.0996703641851084,3127.4457,2.3604234
42,5.16428571428571,0.2207,0.127801715919924,0.348501715919924,27.51,3.91468708485713,2.19708561641135,0.0114476275142832,0.00863971439627969,0.00280791311800354,0.608377433302763,2.57559318835794,0.332812877272768,0.0922288738060001,3127.4457,2.3604234
43,4.07619047619048,0.1562,0.0942951112877583,0.250495111287758,20.72,3.78904471510794,2.29155268443754,0.00807930999900659,0.0059184878449986,0.00216082215400799,0.568844604769619,2.54188744092796,0.365372250630762,0.0818868098286843,2893.3594,2.4010502
44,4.07619047619048,0.432,0.229675101017138,0.661675101017138,72.21,3.35961395265295,2.77014584912543,0.0208758675527616,0.0145135322754607,0.00636233527730089,0.558384765488363,2.54188744092796,0.350463014320237,0.088914059588238,2893.3594,2.4010502
45,4.07619047619048,0.453,0.136231397905082,0.589231397905082,46.7349353304449,3.34217235657535,2.68266159559234,0.0187946681680246,0.0151400407752863,0.00365462739273823,0.558128851148514,2.54188744092796,0.230620029204525,0.133546160528647,2893.3594,2.4010502
46,3.36904761904762,0.367,0.198782760121898,0.565782760121898,27.2508004631719,3.76948485105002,3.08171207158239,0.0199599217182548,0.0138340094033536,0.0061259123149012,0.616374152846697,4.57508731082655,0.366934351212283,0.091824396320526,1581.7843,4.1543845
47,3.36904761904762,0.2641,0.149436355664679,0.413536355664679,18.7585977271779,4.26704223159554,2.91992257102714,0.0156326844120172,0.0112692585336438,0.00436342587837336,0.675148941651499,4.57508731082655,0.383015299868211,0.10201083128735,1581.7843,4.1543845
48,3.36904761904762,0.4265,0.188561512791991,0.615061512791991,39.8914421533668,3.32891610520706,2.04042972572917,0.0180452923470005,0.0141978271887081,0.0038474651582924,0.552574149294782,4.57508731082655,0.313852148095145,0.0820455051852221,1581.7843,4.1543845
49,4.27380952380952,0.0779,0.0307780257021033,0.108678025702103,9.03,4.03622615388461,NA,NA,0.00314422017387611,NA,0.565229796461352,3.33333333333333,0.272300859932036,NA,3139.7334,0.3173324
50,4.27380952380952,0.0713,0.00761625720763912,0.0789162572076391,7.14,3.89436071552237,NA,NA,0.00277667919016745,NA,0.540556306537548,3.33333333333333,0.52963019277948,NA,3139.7334,0.3173324
51,4.27380952380952,0.0273,0.0065,0.0338,4.53,3.64987460204369,2.31299346694208,0.00114676034170916,0.000996415766357927,0.000150344575351235,0.460245995378472,3.33333333333333,0.261160825712963,0.128911122166714,3139.7334,0.3173324
52,4.46428571428571,0.3179,0.18163795620438,0.49953795620438,34.539499782913,3.45997120163742,2.90485225677364,0.0162755627199658,0.0109992484500054,0.00527631426996044,0.557695765227802,2.63345195729537,0.361897138257702,0.0884355714794728,2734.2874,2.6190716
53,4.46428571428571,0.3969,0.214520441471572,0.611420441471572,52.1212503286406,3.02781512308264,2.44079947928298,0.0172534120419087,0.012017398223515,0.00523601381839368,0.498991644634199,2.63345195729537,0.356981666835778,0.0774827241564824,2734.2874,2.6190716
